sample-id	mouse-id	organ	sequencing	cisplatine
#q2:types	categorical	categorical	numeric	categorical
1S_1	mouse1	small_intestine	1	No
1L_1	mouse1	lage_intestine	1	No
2S_1	mouse2	small_intestine	1	No
2L_1	mouse2	lage_intestine	1	No
4S_1	mouse4	small_intestine	1	Yes
4L_1	mouse4	lage_intestine	1	Yes
5S_1	mouse5	small_intestine	1	Yes
5L_1	mouse5	lage_intestine	1	Yes
6S_1	mouse6	small_intestine	1	Yes
6L_1	mouse6	lage_intestine	1	Yes
1S_2	mouse1	small_intestine	2	No
1L_2	mouse1	lage_intestine	2	No
2S_2	mouse2	small_intestine	2	No
2L_2	mouse2	lage_intestine	2	No
4S_2	mouse4	small_intestine	2	Yes
4L_2	mouse4	lage_intestine	2	Yes
5S_2	mouse5	small_intestine	2	Yes
5L_2	mouse5	lage_intestine	2	Yes
6S_2	mouse6	small_intestine	2	Yes
6L_2	mouse6	lage_intestine	2	Yes
